,Methods,Cell Type,F1
1,scDECAF,myeloid cell,0.960893854748603
2,scDECAF,alveolar macrophage,0.994186046511628
3,scDECAF,B cell,0.995073891625616
4,scDECAF,natural killer cell,0.982175783650891
5,scDECAF,T cell,0.987903225806452
6,scDECAF,lung endothelial cell,0.985976267529666
7,scDECAF,stromal cell,0.810196987253766
8,scDECAF,non-classical monocyte,0
9,scDECAF,leukocyte,0.816326530612245
10,scDECAF,classical monocyte,0.553415061295972
11,scDECAF,ciliated columnar cell of tracheobronchial tree,1
12,scDECAF,type II pneumocyte,0.983425414364641
13,scDECAF,mast cell,0
14,cellid,myeloid cell,0.918032786885246
15,cellid,alveolar macrophage,0.688053097345133
16,cellid,B cell,0.990243902439024
17,cellid,natural killer cell,0.981481481481482
18,cellid,T cell,0.975903614457831
19,cellid,lung endothelial cell,0.971553610503282
20,cellid,stromal cell,0.751780014731156
21,cellid,non-classical monocyte,0
22,cellid,leukocyte,0.854489164086687
23,cellid,classical monocyte,0.887372013651877
24,cellid,ciliated columnar cell of tracheobronchial tree,0.819277108433735
25,cellid,type II pneumocyte,0.98876404494382
26,cellid,mast cell,0
27,aucell,myeloid cell,0.795321637426901
28,aucell,alveolar macrophage,0.889784946236559
29,aucell,B cell,0.990196078431373
30,aucell,natural killer cell,0.968905472636816
31,aucell,T cell,0.941176470588235
32,aucell,lung endothelial cell,0.970099667774086
33,aucell,stromal cell,0.657548658600736
34,aucell,non-classical monocyte,0
35,aucell,leukocyte,0.704545454545455
36,aucell,classical monocyte,0.538310412573674
37,aucell,ciliated columnar cell of tracheobronchial tree,0.951456310679612
38,aucell,type II pneumocyte,0.978021978021978
39,aucell,mast cell,0
40,vision,myeloid cell,0.830601092896175
41,vision,alveolar macrophage,0.91588785046729
42,vision,B cell,0.990291262135922
43,vision,natural killer cell,0.985949908368968
44,vision,T cell,0.977777777777778
45,vision,lung endothelial cell,0.972314507198228
46,vision,stromal cell,0.64162003730349
47,vision,non-classical monocyte,0
48,vision,leukocyte,0.764912280701754
49,vision,classical monocyte,0.550495049504951
50,vision,ciliated columnar cell of tracheobronchial tree,0.97029702970297
51,vision,type II pneumocyte,0.983425414364641
52,vision,mast cell,0
53,cellassign,myeloid cell,0.784810126582278
54,cellassign,alveolar macrophage,0.638418079096045
55,cellassign,B cell,0.971428571428571
56,cellassign,natural killer cell,0.990349819059107
57,cellassign,T cell,0.973630831643002
58,cellassign,lung endothelial cell,0.951496388028896
59,cellassign,stromal cell,0.295873867829587
60,cellassign,non-classical monocyte,0
61,cellassign,leukocyte,0.878504672897196
62,cellassign,classical monocyte,0.112994350282486
63,cellassign,ciliated columnar cell of tracheobronchial tree,0.97029702970297
64,cellassign,type II pneumocyte,0.972677595628415
65,cellassign,mast cell,0
66,singscore,myeloid cell,0.699300699300699
67,singscore,alveolar macrophage,0.842105263157895
68,singscore,B cell,0.985507246376812
69,singscore,natural killer cell,0.958490566037736
70,singscore,T cell,0.945945945945946
71,singscore,lung endothelial cell,0.959641255605381
72,singscore,stromal cell,0.430418719211823
73,singscore,non-classical monocyte,0
74,singscore,leukocyte,0.781362007168459
75,singscore,classical monocyte,0.567099567099567
76,singscore,ciliated columnar cell of tracheobronchial tree,0.98
77,singscore,type II pneumocyte,0.983425414364641
78,singscore,mast cell,0
79,garnett,myeloid cell,0
80,garnett,alveolar macrophage,0.0037037037037037
81,garnett,B cell,0.975
82,garnett,natural killer cell,0.513004484304933
83,garnett,T cell,0.952965235173824
84,garnett,lung endothelial cell,0.87396937573616
